model,k,Aggregate,Decoding mode,Sampling mode,Method,Prompt,GSM8K,,,MATH,,,Math QA,,
,,,,,,,1,11,111,1,11,111,1,11,111
Llama 3.1 8B,10,-,Self-Const,Temperature,Majority vote,Step by Step,,89.6,,,55.4,,,63.2,
Llama 3.1 8B,10,TRUE,CoT Decoding,First Toekn,Conf,Step by Step,,88.2 -> 86.4,,,58 -> 52,,,66 -> 64.6,
Llama 3.1 8B,10,TRUE,P(True),Temperature,P,Step by Step,,,,,,,,,
Llama 3.1 8B,10,TRUE,Greedy,-,-,Step by Step,,,,,,,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Conf,Step by Step,,89.4,,,57.8,,,69.4,
Llama 3.1 8B,10,TRUE,All Numbers,First Toekn,Conf,Step by Step,,88.2,,,57.8,,,68.2,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Min Conf,Step by Step,,89.2,,,56.8,,,68.2,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Max Conf,Step by Step,,,,,,,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Conf Harmonic Mean,Step by Step,,91.4,,,57.8,,,68.6,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,P(T) + ,Step by Step,,,,,,,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,P(T) *,Step by Step,,89.6,,,56.8,,,68.6,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Conf * P(Token),Step by Step,,89.6,,,55.2,,,67.8,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,H(P),Step by Step,,,,,,,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Min P(T)+++,Step by Step,,,,,,,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Weighted_Mean,Step by Step,,90.2,,,57,,,68.2,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Min P(T) ***,Step by Step,,90.6,,,57.6,,,65.4,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,HMean P(T)***,Step by Step,,90.2,,,56.4,,,65.6,
,,,,,,,,,,,,,,,
Mistral 7B,10,-,Self-Const,Temperature,Majority vote,Step by Step,,,,,,,,15.8,
Mistral 7B,10,TRUE,CoT Decoding,First Toekn,Conf,Step by Step,,50.8,,,23.2,,,24.6,
Mistral 7B,10,TRUE,P(True),Temperature,P,Step by Step,,,,,,,,12.4,
Mistral 7B,10,TRUE,Greedy,-,-,Step by Step,,,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,Conf,Step by Step,,66.4,,,19.6,,,23.8,
Mistral 7B,10,TRUE,All Numbers,First Toekn,Conf,Step by Step,,67.8,,,22,,,21.4,
Mistral 7B,10,TRUE,All Numbers,Temperature,Min Conf,Step by Step,,67.8,,,20.2,,,24.2,
Mistral 7B,10,TRUE,All Numbers,Temperature,Max Conf,Step by Step,,,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,Conf Harmonic Mean,Step by Step,,65.8,,,20.2,,,24.4,
Mistral 7B,10,TRUE,All Numbers,Temperature,P(T) + ,Step by Step,,,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,P(T) *,Step by Step,,66.8,,,19.2,,,24.8,
Mistral 7B,10,TRUE,All Numbers,Temperature,Conf * P(Token),Step by Step,,66.6,,,20,,,27.8,
Mistral 7B,10,TRUE,All Numbers,Temperature,H(P),Step by Step,,,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,Min P(T)+++,Step by Step,,,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,Weighted_Mean,Step by Step,,69.4,,,19,,,24.8,
Mistral 7B,10,TRUE,All Numbers,Temperature,Min P(T) ***,Step by Step,,63.4,,,17.2,,,24.8,
Mistral 7B,10,TRUE,All Numbers,Temperature,HMean P(T)***,Step by Step,,,,,,,,,
,,,,,,,,,,,,,,,
Olmo 2 7B,10,-,Self-Const,Temperature,Majority vote,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,CoT Decoding,First Toekn,Conf,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,P(True),Temperature,P,Step by Step,,, ,,,,,51.8,
Olmo 2 7B,10,TRUE,Greedy,-,-,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Conf,Step by Step,,89.2,,,,,,61,
Olmo 2 7B,10,TRUE,All Numbers,First Toekn,Conf,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Min Conf,Step by Step,,,,,,,,58.4,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Max Conf,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Conf Harmonic Mean,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,P(T) + ,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,P(T) *,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Conf * P(Token),Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,H(P),Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Min P(T)+++,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Weighted_Mean,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Min P(T) ***,Step by Step,,,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,HMean P(T)***,Step by Step,,,,,,,,,
,,,,,,,,,,,,,,,
Llama 3.2 3B,10,-,Self-Const,Temperature,Majority vote,Step by Step,,,,,,,,,
Llama 3.2 3B,10,TRUE,CoT Decoding,First Toekn,Conf,Step by Step,,75.2,,,56 ->  44.4,,,65.4 -> 59.6,
Llama 3.2 3B,10,TRUE,P(True),Temperature,P,Step by Step,,,,,,,,,
Llama 3.2 3B,10,TRUE,Greedy,-,-,Step by Step,,,,,,,,,
Llama 3.2 3B,10,TRUE,All Numbers,Temperature,Conf,Step by Step,,83.4,,,54.2,,,63.2,
Llama 3.2 3B,10,TRUE,All Numbers,First Toekn,Conf,Step by Step,,82.2,,,49.8,,,58.2,
