model,k,Aggregate,Decoding mode,Sampling mode,Method,Prompt,GSM8K,,,GSM8K-GREEDY,,,MultiArith,,,MATH,,,Math QA,,
,,,,,,,1,11,111,1,11,111,1,11,111,1,11,111,1,11,111
Llama 3.1 8B,10,-,Self-Const,Temperature,Majority vote,Step by Step,,89.6,,,,,,,,,55.4,,,63.2,
Llama 3.1 8B,10,TRUE,CoT Decoding,First Toekn,Conf,Step by Step,,88.2,,,,,,,,,,,,66,
Llama 3.1 8B,10,TRUE,P(True),Temperature,P,Step by Step,,,,,,,,,,,,,,,
Llama 3.1 8B,10,TRUE,Greedy,-,-,Step by Step,,,,,,,,,,,,,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Conf,Step by Step,,90,,,,,,99.2,,,58.2,,,65.2,
Llama 3.1 8B,10,TRUE,All Numbers,First Toekn,Conf,Step by Step,,90,,,,,,,,,,,,66.4,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Min Conf,Step by Step,,90.4,,,,,,99.6,,,57,,,65,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Max Conf,Step by Step,,89.2,,,,,,,,,,,,64.4,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Conf Harmonic Mean,Step by Step,,89.8,,,,,,99,,,60.4,,,65.6,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,P(T) + ,Step by Step,,90,,,,,,,,,,,,65.8,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,P(T) *,Step by Step,,89.8,,,,,,98.4,,,57,,,65.4,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Conf * P(Token),Step by Step,,88.8,,,,,,98,,,55,,,64.2,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,H(P),Step by Step,,86.2,,,,,,,,,,,,56.6,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Min P(T)+++,Step by Step,,90,,,,,,,,,,,,64.2,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Weighted_Mean,Step by Step,,89.4,,,,,,,,,59.6,,,64.8,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Min P(T) ***,Step by Step,,,,,,,,,,,57.6,,,65.2,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,HMean P(T)***,Step by Step,,,,,,,,,,,57.8,,,66.4,
,,,,,,,,,,,,,,,,,,,,,
Mistral 7B,10,-,Self-Const,Temperature,Majority vote,Step by Step,,,,,,,,47.6,,,,,,15.8,
Mistral 7B,10,TRUE,CoT Decoding,First Toekn,Conf,Step by Step,,50.8,,,,,,88.2,,,23.2,,,24.6,
Mistral 7B,10,TRUE,P(True),Temperature,P,Step by Step,,,,,,,,50.2,,,,,,12.4,
Mistral 7B,10,TRUE,Greedy,-,-,Step by Step,,,,,,,,,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,Conf,Step by Step,,64.4,,,,,,76,,,22.4,,,23.2,
Mistral 7B,10,TRUE,All Numbers,First Toekn,Conf,Step by Step,,68.8,,,,,,95,,,20.4,,,22.6,
Mistral 7B,10,TRUE,All Numbers,Temperature,Min Conf,Step by Step,,65.4,,,,,,75.8,,,20.6,,,22,
